ID,Movie,Year,Rating,Data of Date
1,The Shawshank Redemption,1994,9.2,1/22/2023
2,The Godfather,1972,9.2,1/22/2023
3,The Dark Knight,2008,9,1/22/2023
4,The Godfather Part II,1974,9,1/22/2023
5,12 Angry Men,1957,9,1/22/2023
6,Schindler's List,1993,8.9,1/22/2023
7,The Lord of the Rings: The Return of the King,2003,8.9,1/22/2023
8,Pulp Fiction,1994,8.8,1/22/2023
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1/22/2023
10,"Il buono, il brutto, il cattivo",1966,8.8,1/22/2023
11,Forrest Gump,1994,8.8,1/22/2023
12,Fight Club,1999,8.7,1/22/2023
13,The Lord of the Rings: The Two Towers,2002,8.7,1/22/2023
14,Inception,2010,8.7,1/22/2023
15,The Empire Strikes Back,1980,8.7,1/22/2023
16,The Matrix,1999,8.7,1/22/2023
17,GoodFellas,1990,8.7,1/22/2023
18,One Flew Over the Cuckoo's Nest,1975,8.6,1/22/2023
19,Se7en,1995,8.6,1/22/2023
20,Shichinin no samurai,1954,8.6,1/22/2023
21,It's a Wonderful Life,1946,8.6,1/22/2023
22,The Silence of the Lambs,1991,8.6,1/22/2023
23,Cidade de Deus,2002,8.6,1/22/2023
24,Saving Private Ryan,1998,8.6,1/22/2023
25,La vita è bella,1997,8.6,1/22/2023
26,Interstellar,2014,8.6,1/22/2023
27,The Green Mile,1999,8.6,1/22/2023
28,Star Wars,1977,8.5,1/22/2023
29,Terminator 2: Judgment Day,1991,8.5,1/22/2023
30,Back to the Future,1985,8.5,1/22/2023
31,Sen to Chihiro no kamikakushi,2001,8.5,1/22/2023
32,The Pianist,2002,8.5,1/22/2023
33,Psycho,1960,8.5,1/22/2023
34,Gisaengchung,2019,8.5,1/22/2023
35,Léon,1994,8.5,1/22/2023
36,The Lion King,1994,8.5,1/22/2023
37,Gladiator,2000,8.5,1/22/2023
38,American History X,1998,8.5,1/22/2023
39,The Departed,2006,8.5,1/22/2023
40,The Usual Suspects,1995,8.5,1/22/2023
41,The Prestige,2006,8.5,1/22/2023
42,Whiplash,2014,8.5,1/22/2023
43,Casablanca,1942,8.5,1/22/2023
44,Seppuku,1962,8.5,1/22/2023
45,Hotaru no haka,1988,8.5,1/22/2023
46,The Intouchables,2011,8.5,1/22/2023
47,Modern Times,1936,8.4,1/22/2023
48,Once Upon a Time in the West,1968,8.4,1/22/2023
49,Rear Window,1954,8.4,1/22/2023
50,Nuovo Cinema Paradiso,1988,8.4,1/22/2023
51,Alien,1979,8.4,1/22/2023
